SAMD21ExL,SAMD21GxL,I/O Pin,Supply,A,B1,B2,B3,B4,B5,C,D,E,F,G,H
1,1,PA02,VDDANA,EXTINT[2],,AIN[0],,,VOUT,,,,TCC3/WO[0],,
2,2,PA03,VDDANA,EXTINT[3],DAC/VREFA,AIN[1],,,,,,,TCC3/WO[1],,
3,3,PB04,VDDANA,EXTINT[4],,AIN[12],,AIN[0],,,,,,,
4,4,PB05,VDDANA,EXTINT[5],,AIN[13],,AIN[1],,,,,,,
,7,PB08,VDDANA,EXTINT[8],,AIN[2],,,,,SERCOM4/PAD[0],TC4/WO[0],TCC3/WO[6],,
,8,PB09,VDDANA,EXTINT[9],,AIN[3],,,,,SERCOM4/PAD[1],TC4/WO[1],TCC3/WO[7],,
5,9,PA04,VDDANA,EXTINT[4],ADC/VREFB,AIN[4],AIN[0],,,,SERCOM0/PAD[0],TCC0/WO[0],TCC3/WO[2],,
6,10,PA05,VDDANA,EXTINT[5],,AIN[5],AIN[1],,,,SERCOM0/PAD[1],TCC0/WO[1],TCC3/WO[3],,
7,11,PA06,VDDANA,EXTINT[6],,AIN[6],AIN[2],,,,SERCOM0/PAD[2],TCC1/WO[0],TCC3/WO[4],,
8,12,PA07,VDDANA,EXTINT[7],,AIN[7],AIN[3],,,,SERCOM0/PAD[3],TCC1/WO[1],TCC3/WO[5],,
11,13,PA08,VDDIO,NMI,,AIN[16],,,,SERCOM0/PAD[0],SERCOM2/PAD[0],TCC0/WO[0],TCC1/WO[2],,
12,14,PA09,VDDIO,EXTINT[9],,AIN[17],,,,SERCOM0/PAD[1],SERCOM2/PAD[1],TCC0/WO[1],TCC1/WO[3],,
13,15,PA10,VDDIO,EXTINT[10],,AIN[18],,,,SERCOM0/PAD[2],SERCOM2/PAD[2],TCC1/WO[0],TCC0/WO[2],,GCLK_IO[4]
14,16,PA11,VDDIO,EXTINT[11],,AIN[19],,,,SERCOM0/PAD[3],SERCOM2/PAD[3],TCC1/WO[1],TCC0/WO[3],,GCLK_IO[5]
,19,PB10,VDDIO,EXTINT[10],,,,,,,SERCOM4/PAD[2],TC5/WO[0],TCC0/WO[4],,GCLK_IO[4]
,20,PB11,VDDIO,EXTINT[11],,,,,,,SERCOM4/PAD[3],TC5/WO[1],TCC0/WO[5],,GCLK_IO[5]
,21,PA12,VDDIO,EXTINT[12],,,,,,SERCOM2/PAD[0],SERCOM4/PAD[0],TCC2/WO[0],TCC0/WO[6],,AC/CMP[0]
,22,PA13,VDDIO,EXTINT[13],,,,,,SERCOM2/PAD[1],SERCOM4/PAD[1],TCC2/WO[1],TCC0/WO[7],,AC/CMP[1]
15,23,PA14,VDDIO,EXTINT[14],,,,,,SERCOM2/PAD[2],SERCOM4/PAD[2],TC3/WO[0],TCC0/WO[4],,GCLK_IO[0]
16,24,PA15,VDDIO,EXTINT[15],,,,,,SERCOM2/PAD[3],SERCOM4/PAD[3],TC3/WO[1],TCC0/WO[5],,GCLK_IO[1]
17,25,PA16,VDDIO,EXTINT[0],,,,,,SERCOM1/PAD[0],SERCOM3/PAD[0],TCC2/WO[0],TCC0/WO[6],,GCLK_IO[2]
18,26,PA17,VDDIO,EXTINT[1],,,,,,SERCOM1/PAD[1],SERCOM3/PAD[1],TCC2/WO[1],TCC0/WO[7],,GCLK_IO[3]
19,27,PA18,VDDIO,EXTINT[2],,,,,,SERCOM1/PAD[2],SERCOM3/PAD[2],TC3/WO[0],TCC0/WO[2],,AC/CMP[0]
20,28,PA19,VDDIO,EXTINT[3],,,,,,SERCOM1/PAD[3],SERCOM3/PAD[3],TC3/WO[1],TCC0/WO[3],,AC/CMP[1]
,29,PA20,VDDIO,EXTINT[4],,,,,,SERCOM5/PAD[2],SERCOM3/PAD[2],TC7/WO[0],TCC0/WO[6],,GCLK_IO[4]
,30,PA21,VDDIO,EXTINT[5],,,,,,SERCOM5/PAD[3],SERCOM3/PAD[3],TC7/WO[1],TCC0/WO[7],,GCLK_IO[5]
21,31,PA22,VDDIO,EXTINT[6],,,,,,SERCOM3/PAD[0],SERCOM5/PAD[0],TC4/WO[0],TCC0/WO[4],,GCLK_IO[6]
22,32,PA23,VDDIO,EXTINT[7],,,,,,SERCOM3/PAD[1],SERCOM5/PAD[1],TC4/WO[1],TCC0/WO[5],,GCLK_IO[7]
23,33,PA24,VDDIO,EXTINT[12],,,,,,SERCOM3/PAD[2],SERCOM5/PAD[2],TC5/WO[0],TCC1/WO[2],,AC1/CMP[0]
24,34,PA25,VDDIO,EXTINT[13],,,,,,SERCOM3/PAD[3],SERCOM5/PAD[3],TC5/WO[1],TCC1/WO[3],,AC1/CMP[1]
,37,PA27,VDDIO,EXTINT[15],,,,,,,,,TCC3/WO[6],,GCLK_IO[0]
,39,PA28,VDDIO,EXTINT[8],,,,,,,,,TCC3/WO[7],,GCLK_IO[0]
29,43,PA30,VDDIO,EXTINT[10],,,,,,,SERCOM1/PAD[2],TCC1/WO[0],TCC3/WO[4],SWCLK,GCLK_IO[0]
30,44,PA31,VDDIO,EXTINT[11],,,,,,,SERCOM1/PAD[3],TCC1/WO[1],TCC3/WO[5],SWDIO,
,45,PB00,,,,AIN[8],,,,,,,,,
,46,PB01,,,,AIN[9],,,,,,,,,
31,47,PB02,VDDANA,EXTINT[2],,AIN[10],,AIN[2],,,SERCOM5/PAD[0],TC6/WO[0],TCC3/WO[2],,
32,48,PB03,VDDANA,EXTINT[3],,AIN[11],,AIN[3],,,SERCOM5/PAD[1],TC6/WO[1],TCC3/WO[3],,
