Device,Pin Count,I2C Pins,SERCOM Configs
SAMD51G18,48,"PA08,PA09,PA12,PA13,PA16,PA17,PA22,PA23","PA08:[SERCOM0/PAD[0],SERCOM2/PAD[1]]|PA09:[SERCOM0/PAD[1],SERCOM2/PAD[0]]|PA12:[SERCOM2/PAD[0],SERCOM4/PAD[1]]|PA13:[SERCOM2/PAD[1],SERCOM4/PAD[0]]|PA16:[SERCOM1/PAD[0],SERCOM3/PAD[1]]|PA17:[SERCOM1/PAD[1],SERCOM3/PAD[0]]|PA22:[SERCOM3/PAD[0],SERCOM5/PAD[1]]|PA23:[SERCOM3/PAD[1],SERCOM5/PAD[0]]"
SAMD51G19,48,"PA08,PA09,PA12,PA13,PA16,PA17,PA22,PA23","PA08:[SERCOM0/PAD[0],SERCOM2/PAD[1]]|PA09:[SERCOM0/PAD[1],SERCOM2/PAD[0]]|PA12:[SERCOM2/PAD[0],SERCOM4/PAD[1]]|PA13:[SERCOM2/PAD[1],SERCOM4/PAD[0]]|PA16:[SERCOM1/PAD[0],SERCOM3/PAD[1]]|PA17:[SERCOM1/PAD[1],SERCOM3/PAD[0]]|PA22:[SERCOM3/PAD[0],SERCOM5/PAD[1]]|PA23:[SERCOM3/PAD[1],SERCOM5/PAD[0]]"
SAMD51J18,64,"PA08,PA09,PA12,PA13,PA16,PA17,PA22,PA23","PA08:[SERCOM0/PAD[0],SERCOM2/PAD[1]]|PA09:[SERCOM0/PAD[1],SERCOM2/PAD[0]]|PA12:[SERCOM2/PAD[0],SERCOM4/PAD[1]]|PA13:[SERCOM2/PAD[1],SERCOM4/PAD[0]]|PA16:[SERCOM1/PAD[0],SERCOM3/PAD[1]]|PA17:[SERCOM1/PAD[1],SERCOM3/PAD[0]]|PA22:[SERCOM3/PAD[0],SERCOM5/PAD[1]]|PA23:[SERCOM3/PAD[1],SERCOM5/PAD[0]]"
SAMD51J19,64,"PA08,PA09,PA12,PA13,PA16,PA17,PA22,PA23","PA08:[SERCOM0/PAD[0],SERCOM2/PAD[1]]|PA09:[SERCOM0/PAD[1],SERCOM2/PAD[0]]|PA12:[SERCOM2/PAD[0],SERCOM4/PAD[1]]|PA13:[SERCOM2/PAD[1],SERCOM4/PAD[0]]|PA16:[SERCOM1/PAD[0],SERCOM3/PAD[1]]|PA17:[SERCOM1/PAD[1],SERCOM3/PAD[0]]|PA22:[SERCOM3/PAD[0],SERCOM5/PAD[1]]|PA23:[SERCOM3/PAD[1],SERCOM5/PAD[0]]"
SAMD51J20,64,"PA08,PA09,PA12,PA13,PA16,PA17,PA22,PA23","PA08:[SERCOM0/PAD[0],SERCOM2/PAD[1]]|PA09:[SERCOM0/PAD[1],SERCOM2/PAD[0]]|PA12:[SERCOM2/PAD[0],SERCOM4/PAD[1]]|PA13:[SERCOM2/PAD[1],SERCOM4/PAD[0]]|PA16:[SERCOM1/PAD[0],SERCOM3/PAD[1]]|PA17:[SERCOM1/PAD[1],SERCOM3/PAD[0]]|PA22:[SERCOM3/PAD[0],SERCOM5/PAD[1]]|PA23:[SERCOM3/PAD[1],SERCOM5/PAD[0]]"
SAMD51N19,100,"PA08,PA09,PA12,PA13,PA16,PA17,PA22,PA23","PA08:[SERCOM0/PAD[0],SERCOM2/PAD[1]]|PA09:[SERCOM0/PAD[1],SERCOM2/PAD[0]]|PA12:[SERCOM2/PAD[0],SERCOM4/PAD[1]]|PA13:[SERCOM2/PAD[1],SERCOM4/PAD[0]]|PA16:[SERCOM1/PAD[0],SERCOM3/PAD[1]]|PA17:[SERCOM1/PAD[1],SERCOM3/PAD[0]]|PA22:[SERCOM3/PAD[0],SERCOM5/PAD[1]]|PA23:[SERCOM3/PAD[1],SERCOM5/PAD[0]]"
SAMD51N20,100,"PA08,PA09,PA12,PA13,PA16,PA17,PA22,PA23","PA08:[SERCOM0/PAD[0],SERCOM2/PAD[1]]|PA09:[SERCOM0/PAD[1],SERCOM2/PAD[0]]|PA12:[SERCOM2/PAD[0],SERCOM4/PAD[1]]|PA13:[SERCOM2/PAD[1],SERCOM4/PAD[0]]|PA16:[SERCOM1/PAD[0],SERCOM3/PAD[1]]|PA17:[SERCOM1/PAD[1],SERCOM3/PAD[0]]|PA22:[SERCOM3/PAD[0],SERCOM5/PAD[1]]|PA23:[SERCOM3/PAD[1],SERCOM5/PAD[0]]"
SAMD51P19,120,"PA08,PA09,PA12,PA13,PA16,PA17,PA22,PA23,PD08,PD09","PA08:[SERCOM0/PAD[0],SERCOM2/PAD[1]]|PA09:[SERCOM0/PAD[1],SERCOM2/PAD[0]]|PA12:[SERCOM2/PAD[0],SERCOM4/PAD[1]]|PA13:[SERCOM2/PAD[1],SERCOM4/PAD[0]]|PA16:[SERCOM1/PAD[0],SERCOM3/PAD[1]]|PA17:[SERCOM1/PAD[1],SERCOM3/PAD[0]]|PA22:[SERCOM3/PAD[0],SERCOM5/PAD[1]]|PA23:[SERCOM3/PAD[1],SERCOM5/PAD[0]]|PD08:[SERCOM7/PAD[0],SERCOM6/PAD[1]]|PD09:[SERCOM7/PAD[1],SERCOM6/PAD[0]]"
SAMD51P20,120,"PA08,PA09,PA12,PA13,PA16,PA17,PA22,PA23,PD08,PD09","PA08:[SERCOM0/PAD[0],SERCOM2/PAD[1]]|PA09:[SERCOM0/PAD[1],SERCOM2/PAD[0]]|PA12:[SERCOM2/PAD[0],SERCOM4/PAD[1]]|PA13:[SERCOM2/PAD[1],SERCOM4/PAD[0]]|PA16:[SERCOM1/PAD[0],SERCOM3/PAD[1]]|PA17:[SERCOM1/PAD[1],SERCOM3/PAD[0]]|PA22:[SERCOM3/PAD[0],SERCOM5/PAD[1]]|PA23:[SERCOM3/PAD[1],SERCOM5/PAD[0]]|PD08:[SERCOM7/PAD[0],SERCOM6/PAD[1]]|PD09:[SERCOM7/PAD[1],SERCOM6/PAD[0]]"
SAME51G18,48,"PA08,PA09,PA12,PA13,PA16,PA17,PA22,PA23","PA08:[SERCOM0/PAD[0],SERCOM2/PAD[1]]|PA09:[SERCOM0/PAD[1],SERCOM2/PAD[0]]|PA12:[SERCOM2/PAD[0],SERCOM4/PAD[1]]|PA13:[SERCOM2/PAD[1],SERCOM4/PAD[0]]|PA16:[SERCOM1/PAD[0],SERCOM3/PAD[1]]|PA17:[SERCOM1/PAD[1],SERCOM3/PAD[0]]|PA22:[SERCOM3/PAD[0],SERCOM5/PAD[1]]|PA23:[SERCOM3/PAD[1],SERCOM5/PAD[0]]"
